Price_USD_per_MWh,Quantity_MW,Hour,Day,Point,maxSOC_MWh,Hybrid_Name
999.9,1e-10,19,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,2,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,2,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,2,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,3,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,3,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,3,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,3,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,3,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,3,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,3,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,3,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,3,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,3,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,3,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,3,1,240.0,HYB_DA_RT_C2
